,DateTime,Thermocouple Temperature (C),Sensor Temp (Hz),Sensor Moist (Hz)
12665,2017-10-05 14:01:46.635679,25.0,5464.48,13333.0
12666,2017-10-05 14:01:47.675565,25.0,5291.01,13513.0
12667,2017-10-05 14:01:48.715012,24.5,5291.01,13698.0
12668,2017-10-05 14:01:49.754487,24.75,5154.64,13513.0
12669,2017-10-05 14:01:50.778248,24.75,5291.01,13513.0
12670,2017-10-05 14:01:51.817706,25.0,5291.01,13698.0
12671,2017-10-05 14:01:52.857426,25.0,5405.41,13513.0
12672,2017-10-05 14:01:53.897112,25.0,5154.64,13513.0
12673,2017-10-05 14:01:54.936590,25.0,5291.01,13513.0
12674,2017-10-05 14:01:55.960279,25.0,5291.01,13513.0
12675,2017-10-05 14:01:56.999705,25.0,5291.01,13698.0
12676,2017-10-05 14:01:58.039327,24.75,5181.35,13698.0
12677,2017-10-05 14:01:59.079009,25.0,5181.35,13333.0
12678,2017-10-05 14:02:00.102395,25.0,5405.41,13698.0
12679,2017-10-05 14:02:01.141934,25.0,5405.41,13333.0
12680,2017-10-05 14:02:02.181675,24.75,5291.01,13513.0
12681,2017-10-05 14:02:03.221054,24.75,5347.59,13513.0
12682,2017-10-05 14:02:04.260609,24.75,5291.01,13698.0
12683,2017-10-05 14:02:05.284219,25.0,5076.14,13698.0
12684,2017-10-05 14:02:06.323903,25.0,5291.01,13513.0
12685,2017-10-05 14:02:07.363625,25.0,5291.01,12500.0
12686,2017-10-05 14:02:08.403218,25.25,5464.48,12658.0
12687,2017-10-05 14:02:09.426844,25.25,5376.34,13513.0
12688,2017-10-05 14:02:10.466442,24.5,5494.51,13698.0
12689,2017-10-05 14:02:11.505702,25.25,5291.01,13698.0
12690,2017-10-05 14:02:12.545211,24.25,5128.21,13698.0
12691,2017-10-05 14:02:13.584884,25.0,5291.01,13513.0
12692,2017-10-05 14:02:14.608365,25.25,5128.21,13513.0
12693,2017-10-05 14:02:15.648562,24.75,5291.01,13698.0
12694,2017-10-05 14:02:16.687778,24.75,5291.01,13513.0
12695,2017-10-05 14:02:17.727348,24.5,5291.01,13698.0
12696,2017-10-05 14:02:18.750604,25.0,5291.01,13513.0
12697,2017-10-05 14:02:19.790302,24.25,5376.34,13333.0
12698,2017-10-05 14:02:20.829934,25.0,5291.01,13698.0
12699,2017-10-05 14:02:21.869504,24.75,5291.01,13698.0
12700,2017-10-05 14:02:22.908914,24.75,5291.01,13698.0
12701,2017-10-05 14:02:23.932521,24.75,5319.15,13513.0
12702,2017-10-05 14:02:24.972161,25.0,5291.01,13513.0
12703,2017-10-05 14:02:26.011785,25.25,5291.01,13698.0
12704,2017-10-05 14:02:27.051494,24.5,5291.01,13698.0
12705,2017-10-05 14:02:28.074803,25.0,5291.01,13513.0
12706,2017-10-05 14:02:29.114578,25.0,5102.04,13513.0
12707,2017-10-05 14:02:30.154102,25.25,5050.5,13333.0
12708,2017-10-05 14:02:31.193536,24.75,5181.35,13698.0
12709,2017-10-05 14:02:32.233277,25.0,5102.04,13513.0
12710,2017-10-05 14:02:33.256810,24.25,5319.15,13157.0
12711,2017-10-05 14:02:34.296383,24.75,5376.34,13698.0
